sep=,
,FlowINITAL_START, FlowDEAD_START, FlowABORTED_START, FlowTERMINATING_START, FlowTERMINATED_START, FlowEXECUTING_START, FlowFAULT_START, FlowCOMPLETED_START, ExtraFlowINITAL_START, ExtraFlowDEAD_START, ExtraFlowABORTED_START, ExtraFlowTERMINATING_START, ExtraFlowTERMINATED_START, ExtraFlowEXECUTING_START, ExtraFlowFAULT_START, ExtraFlowCOMPLETED_START, MyActivityINITAL_START, MyActivityDEAD_START, MyActivityABORTED_START, MyActivityTERMINATING_START, MyActivityTERMINATED_START, MyActivityEXECUTING_START, MyActivityFAULT_START, MyActivityCOMPLETED_START, 
FlowINITAL_START, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
FlowDEAD_START, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
FlowABORTED_START, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
FlowTERMINATING_START, >, ||, ||, =, <, >, ||, ||, >, ||, ||, =, <, >, ||, ||, >, ||, ||, =, <, >, ||, ||, 
FlowTERMINATED_START, >, ||, ||, >, =, >, ||, ||, >, ||, ||, >, > =, >, ||, ||, >, ||, ||, >, > =, >, ||, ||, 
FlowEXECUTING_START, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, 
FlowFAULT_START, >, ||, ||, ||, ||, >, =, ||, >, ||, ||, ||, ||, >, = ||, > ||, >, ||, ||, ||, ||, >, > = || <, > ||, 
FlowCOMPLETED_START, >, ||, ||, ||, ||, >, ||, =, >, ||, ||, ||, ||, >, ||, > =, >, ||, ||, ||, ||, >, ||, > =, 
ExtraFlowINITAL_START, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
ExtraFlowDEAD_START, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
ExtraFlowABORTED_START, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
ExtraFlowTERMINATING_START, >, ||, ||, =, <, >, ||, ||, >, ||, ||, =, <, >, ||, ||, >, ||, ||, =, <, >, ||, ||, 
ExtraFlowTERMINATED_START, >, ||, ||, >, < =, >, ||, ||, >, ||, ||, >, =, >, ||, ||, >, ||, ||, >, > =, >, ||, ||, 
ExtraFlowEXECUTING_START, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, 
ExtraFlowFAULT_START, >, ||, ||, ||, ||, >, = ||, ||, >, ||, ||, ||, ||, >, =, ||, >, ||, ||, ||, ||, >, = ||, > ||, 
ExtraFlowCOMPLETED_START, >, ||, ||, ||, ||, >, < ||, < =, >, ||, ||, ||, ||, >, ||, =, >, ||, ||, ||, ||, >, ||, > =, 
MyActivityINITAL_START, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, =, <, <, <, <, <, <, <, 
MyActivityDEAD_START, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, >, =, ||, ||, ||, ||, ||, ||, 
MyActivityABORTED_START, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, >, ||, =, ||, ||, ||, ||, ||, 
MyActivityTERMINATING_START, >, ||, ||, =, <, >, ||, ||, >, ||, ||, =, <, >, ||, ||, >, ||, ||, =, <, >, ||, ||, 
MyActivityTERMINATED_START, >, ||, ||, >, < =, >, ||, ||, >, ||, ||, >, < =, >, ||, ||, >, ||, ||, >, =, >, ||, ||, 
MyActivityEXECUTING_START, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, >, ||, ||, <, <, =, <, <, 
MyActivityFAULT_START, >, ||, ||, ||, ||, >, < = || >, ||, >, ||, ||, ||, ||, >, = ||, ||, >, ||, ||, ||, ||, >, =, ||, 
MyActivityCOMPLETED_START, >, ||, ||, ||, ||, >, < ||, < =, >, ||, ||, ||, ||, >, < ||, < =, >, ||, ||, ||, ||, >, ||, =, 
